serial,B1,I1,N1,G1,O1,B2,I2,N2,G2,O2,B3,I3,N3,G3,O3,B4,I4,N4,G4,O4,B5,I5,N5,G5,O5,firma
0585,3,26,31,50,67,14,20,41,48,75,1,19,LIBRE,55,71,7,27,43,58,68,9,21,32,46,64,aa84fa32efdc964b6d5e20a4470ae2da9e5ae351f5016a0247b6d804a2622d8d
0586,10,20,33,50,63,9,24,31,51,73,12,28,LIBRE,59,72,1,30,35,56,67,13,29,34,57,68,5d473643cda66355254b117d44958c46c8929f63c425a379e1e8888489a5ed48
0587,5,19,39,55,69,10,23,41,50,63,3,16,LIBRE,47,75,14,22,44,53,72,12,21,42,59,65,96c9101279c07e6185c0f0099194fb45d74aeb076801b260a92dd43a5fdc6ceb
0588,9,28,44,59,66,3,27,45,60,62,14,23,LIBRE,56,65,13,21,38,49,69,2,29,43,47,64,049d47c79fa7d5a3037ef6a59bf39ad210c8b1b63f59f727c9dfbb4dd03f7c08
0589,2,26,32,56,74,3,28,41,57,69,7,21,LIBRE,53,66,12,17,44,50,67,5,22,33,58,68,d8e4cfff01ad7db31579f23599a65dbb9209cfca812b21c2eea274479fc22aee
0590,6,23,45,56,73,8,16,43,54,65,10,24,LIBRE,48,74,3,25,32,52,72,2,19,38,60,61,cd7ead7f5deb15ed0b14e0683326a81676fec11f97761c28710294f84f8e1f36
0591,4,24,44,54,75,2,20,37,53,61,3,16,LIBRE,47,72,1,26,40,46,67,13,30,39,48,64,ff8dc227700425b5c292bd1071775bad0c3902ea4278a8bfa280cc16908bdbe4
0592,8,20,34,57,72,5,27,42,47,68,4,30,LIBRE,48,73,14,25,32,52,62,11,17,40,51,67,247eda5b6ba789d152ec8101742234f2e3fa9b5d728ca7f40129e5dc2f398bde
0593,2,21,45,53,72,8,23,39,59,61,7,25,LIBRE,60,66,12,28,42,50,65,9,27,36,58,71,aa0473c5c3df8297594ad196c6b07272b0e120d762345807a742e55032018362
0594,14,22,43,59,71,7,21,40,52,67,5,16,LIBRE,50,74,2,28,31,54,70,11,27,36,53,63,2e606c34df82de69e19b3bc17423411b6458d5eb73999842fc4320316ee3550b
0595,12,28,44,60,65,6,25,42,49,61,1,24,LIBRE,56,70,5,29,43,52,68,8,30,36,54,62,1728e74cfabb4c6a00e382ac3cd5c684dd5be48c5ed2563eae9ae8ca4ddeea19
0596,4,27,32,56,72,12,17,41,54,74,2,28,LIBRE,46,61,11,26,42,52,65,1,25,43,58,70,949341e5676ac3876489c7a3190e3a01aa248a99cf992ccd9b91e7b59d9897aa
0597,10,30,31,59,67,11,28,41,52,65,13,25,LIBRE,55,69,5,17,39,58,73,1,24,37,46,66,598ba973b93eaf79c627f3ebf89f9fbd9a1c457fb59ae715168bafcfb59a981b
0598,13,30,42,52,62,10,24,39,46,69,5,23,LIBRE,51,68,7,20,40,53,63,4,18,43,57,66,514701b70033adbd8083fefb623315ca76802048a3aa2ac78d5d6d639fbdb458
0599,9,18,35,58,74,15,28,33,52,71,7,23,LIBRE,47,73,2,25,43,48,66,14,27,38,50,68,baf46dd6f6aa4b46f899cc064abb6a52266fa0b504ad60ba11ada6f2ef8f68de
0600,1,17,44,55,66,9,18,38,46,64,2,27,LIBRE,47,71,3,22,43,56,68,15,26,41,57,72,6946108f1b4f45041ea544aefbd527b515f91d34e6e177e764a62d835b5b600a
0601,11,16,42,60,65,15,29,32,59,70,1,17,LIBRE,53,63,2,18,45,48,73,13,22,44,57,71,03fa7404b2e91eb1015b515f322fe966984b86953c3cfb264152bf98b695c80b
0602,12,21,36,47,69,2,17,45,49,72,10,24,LIBRE,50,70,13,25,35,48,63,11,22,31,46,71,5e50e61302b57fbea62ee520449407beb2f6ddc34791516d0d07cb46ccbc62d3
0603,3,29,32,53,64,5,21,34,57,73,8,27,LIBRE,46,67,15,25,40,51,62,2,18,42,55,70,f66d3bba4bef243c4abea0538ecf42e939d46135f2e734c9d0dcb4243d31ba88
0604,8,18,42,50,74,9,21,35,54,64,3,16,LIBRE,57,69,7,26,31,52,67,12,17,41,60,71,0e06d3b584c9cfadd02a713480efdba1b07fa4044e8b0ea0f53671b6734487ba
0605,10,22,38,48,70,5,17,32,57,71,2,16,LIBRE,59,75,9,27,31,58,63,3,18,34,54,67,c7cb05bd4087561f06ea74b98ca91a224275dcd8f7aab1fe0772da4884116358
0606,15,18,31,52,63,5,17,43,53,71,4,27,LIBRE,57,75,11,16,40,50,65,13,24,33,58,64,690624d236a7871a2f2ed7c18dfa669d8b5f24b34d99628c86a884466696f8c4
0607,2,24,36,56,74,1,16,38,47,66,7,18,LIBRE,59,72,14,19,41,46,61,4,26,44,54,64,db0d014775121d82c23fc3344b41e72b6dd5aa62755cce82407593f2254ca5e4
0608,6,19,41,48,66,10,26,39,56,70,11,24,LIBRE,47,71,13,23,43,60,63,7,16,38,51,74,259607d3b8d947a6a5e9a780b4c48b474b061f358251500a5d138fef2fa20e76
0609,15,24,42,55,70,1,17,43,59,67,2,23,LIBRE,54,75,8,25,36,53,62,7,16,34,47,71,d0d0fa72f165c848bb9339d1a9dea04e574aa587cdb46a3b74e4f8ea8d0130d4
0610,7,17,33,49,67,8,22,34,52,64,12,27,LIBRE,56,65,5,29,44,53,74,13,28,45,55,70,79623afe7d9a1ab94282ed09677a5a4672ce80a762155418a648941c2d06c3fb
0611,13,25,36,51,64,15,16,42,52,71,1,26,LIBRE,50,74,14,24,34,49,63,3,22,43,59,70,2e874eac286707875ac0e5ff302060233daed9bad5cf44884d07a010f9f5c04d
0612,5,26,34,55,65,13,18,36,59,69,3,22,LIBRE,51,63,14,27,32,48,62,10,30,40,57,71,f17c73d1f13b854d8573a62686e362e0ccaa950b5af863394bbfc9d5e433031b
0613,7,22,39,46,65,13,24,42,58,75,5,16,LIBRE,50,64,2,18,37,57,74,10,27,45,48,61,771723b475b89776cfb36c7f9d4da8f3a069e8df43942eeedecfc69975117dc4
0614,12,23,31,47,64,1,29,37,50,68,7,26,LIBRE,55,73,11,24,38,56,65,4,18,42,48,70,555c6d4ee3ce361643b61a7de31de2fbc0e032ce0c1ab28535f0d1618f52a2e8
0615,10,26,45,60,68,14,28,35,49,63,2,21,LIBRE,48,70,3,23,43,50,65,12,16,32,57,61,81dbf2d0ab949620bbcc003d0eed95956a7640394161b43421dc7113b5b24e83
0616,9,23,37,47,66,2,16,40,56,68,12,18,LIBRE,54,75,15,21,33,48,61,6,24,38,53,64,6d08485f6534fd0de858cdee685a76f7ce68334a22186cdc3ee7317dfb20b1d6
0617,3,22,37,47,71,11,27,41,46,73,12,16,LIBRE,52,70,13,29,45,58,74,7,23,40,51,72,c6ece935f52db8aa348bbe6329ad5298bafa7f7baeaa8eb036d2c3763bdbf704
0618,9,23,40,53,65,11,18,34,54,67,8,29,LIBRE,51,73,14,20,35,56,70,10,21,42,52,68,b773a6aab5de659f32c702bbc716b2e978dc01d1e9dabb9e8cc72c2ca7e23cfa
0619,8,25,38,58,68,14,20,45,54,72,10,30,LIBRE,51,66,9,18,42,52,70,15,16,34,53,64,840f2d8190bded5c01f26af6096ade4402ff48b134c332da65688674bc9658d5
0620,3,24,43,55,73,1,30,39,57,67,10,19,LIBRE,53,62,4,25,36,51,74,12,27,41,47,71,2559c5b6ab76f9317a52af0566ca2e437e603eb55e60dff4f3ce2b79f31722d8
0621,6,23,38,50,72,2,20,41,47,66,4,28,LIBRE,59,68,10,25,35,56,65,3,29,31,54,63,98c6e671ff4bc5a37122881326ae50b75e8bc676d2ea4adfacf2e36476b75827
0622,2,28,42,50,75,11,26,44,51,69,7,30,LIBRE,52,65,3,17,39,56,66,14,22,35,46,73,bf9c295b8e396041d336e8ae8382b10d3d996ad8ea329d6476d9fd2b6568d5a0
0623,3,20,34,51,66,9,22,37,60,70,7,18,LIBRE,58,72,5,30,40,53,62,11,26,45,55,71,a23d7d2149672a8eee2b77f050e3be1844f93982bf06640c669e801fda821e0e
0624,3,29,40,56,67,6,25,31,60,71,12,27,LIBRE,57,70,15,22,34,49,74,1,18,38,58,69,151d55bc0fd08d5edbd7d77c20c096179c2dfea9b10d8b2c863142cefcae153d
0625,12,21,34,56,70,4,23,37,55,67,15,22,LIBRE,60,73,3,24,33,57,66,10,19,35,48,74,20165d6350ce2b29d2ee222b36a45015b586cb306dbe3aa85a09ab1d82cd93df
0626,3,28,40,48,72,7,22,31,46,70,4,26,LIBRE,56,65,8,30,32,58,73,10,17,33,51,63,a52895a9eade737bd1ba88aa7cbe6e887bbcf12403baa0738e0ed1ccc1ebffa0
0627,2,19,42,52,73,13,27,44,50,75,15,21,LIBRE,57,69,1,28,35,60,61,10,24,45,55,65,f37d9c1cd220e85cd34b00171bd76947c8e8190ad2e1fc5fb1275d2adaccdc26
0628,10,25,33,48,75,14,26,37,55,64,13,22,LIBRE,58,73,8,29,38,47,66,15,20,34,49,61,e8a73500b65cc5b3bbffcc4edf712ea86667638b703c1821bbc4a818ce03768c
0629,10,28,42,60,64,12,16,43,53,62,3,23,LIBRE,49,68,8,30,39,51,67,2,26,41,46,71,81815b163fd89a008d85ac17756676b55f1985c65589922e32821fd251224180
0630,8,24,33,60,61,10,17,43,56,66,1,29,LIBRE,51,65,13,27,35,54,62,14,21,37,47,64,0782a1318a139c9d8fb519c1187217faf8632f4c1da056f408b2000815a52243
0631,13,25,38,54,63,12,30,42,46,70,6,16,LIBRE,57,72,15,22,41,59,65,4,21,45,49,68,c372b5dc89dc9aaac0b69758bff968b9f4921e7fcae0c4b199f078d1b4716146
0632,5,30,36,53,65,10,22,44,56,69,6,20,LIBRE,55,70,11,18,42,52,73,15,19,32,59,74,8112d8a05eb79d2a64b0d3b06aa736cbe5533caf6bff62993817e87cfe2418e8
0633,7,19,43,53,67,8,25,41,47,71,11,27,LIBRE,59,66,14,29,32,60,72,13,16,44,48,64,4bc98d7d0020a77b98d309d4843d2d39e7b53107e7dc33d3084273b4f36936de
0634,10,20,35,58,74,5,22,31,48,67,9,18,LIBRE,59,61,2,17,43,49,73,6,30,36,46,63,170662dd027caefaaba8fd79fed0a0a8a3182c7c3743449cd3a997110a5a7308
0635,8,22,40,50,61,5,16,32,52,71,12,29,LIBRE,56,74,15,18,37,53,75,6,25,35,57,65,854d514d9935c2bcda027fc8547b6c116cf039ee1d10ba6df9858b67c78fb87d
0636,10,25,32,46,64,15,19,36,47,71,9,22,LIBRE,51,66,11,28,41,53,61,5,16,45,56,68,3a84096b2ef423c0f8d14fe0d1eaba73d8023cbee87337cfef841449a755b314
0637,15,25,32,56,67,7,21,45,55,75,2,22,LIBRE,50,70,4,27,42,54,73,6,18,39,53,72,d3cb3a8dcf0e090313e245783f279f10519a9001ba864edee877a15bdc85dc75
0638,15,28,44,60,72,5,18,36,50,68,9,23,LIBRE,55,75,4,29,35,49,73,8,17,32,58,74,8fa12b74272aee1c435e805792b8fdd6a24a97980f3dd624bd5b50ec999173d9
0639,1,26,40,56,68,9,27,35,53,66,7,20,LIBRE,58,61,15,16,43,54,74,6,24,37,57,75,0f0ebd1a1ccce73cfa7cb30f1c4c82bb4e7a251b60421e4ebfa1784b8e1bc94d
0640,12,17,45,46,72,6,27,33,56,64,4,19,LIBRE,47,71,15,16,35,50,63,14,30,37,54,65,278259acca0c5d9b88d49ef53f9cf95ddd295b7f9ed15c0f97a255133029a56f
0641,14,21,32,57,66,8,30,37,49,71,2,28,LIBRE,48,70,9,27,44,58,65,6,18,34,55,73,5f576e86e14ef94218df8ee0d386ccd27cb4972b88f89b8dd6631163e642bc19
0642,7,27,38,52,71,11,19,33,50,67,8,20,LIBRE,47,66,12,22,34,51,70,1,26,44,54,74,50a43cc5929ca46a20fc6163b5d39eb33fda765c9d4e910cdc3f911a51aada51
0643,2,27,44,58,69,10,19,35,56,67,11,30,LIBRE,54,61,8,20,40,53,73,12,23,37,59,74,27c5b1a6f08983516adefe841ae010f1c02aef6c4796dfeff12302c05547617b
0644,13,18,40,51,64,7,22,39,49,71,10,27,LIBRE,53,72,6,24,43,54,63,8,16,34,58,65,e7b6be700c54fd4ff94e6e4a0e160b6cb3b98664c3f36630e45eed154f27fc2e
0645,13,26,32,55,64,12,19,39,60,72,4,28,LIBRE,57,65,3,17,38,49,67,1,27,35,46,68,f001f67898faf068188bdedba2313d79f7230b175226bd709cf739ac327f578e
0646,10,20,40,46,65,8,18,34,57,64,12,24,LIBRE,50,68,15,29,31,59,66,5,30,32,51,74,9a599d5f99810308141b1b69c63cf487d0da1d8fc4201974c61a3af008c7012f
0647,13,18,40,53,73,7,17,43,54,61,10,27,LIBRE,57,69,2,28,34,52,64,14,24,31,49,70,193d489690b6b4734903de1cbff184f20fff552c297168e4e80fcbd2fa674bab
0648,1,18,34,60,75,13,19,37,55,69,4,17,LIBRE,54,64,7,28,32,59,71,5,29,45,51,73,153f85e9a9e79dc96476fa27eb02bfa80064487acef823587ad718331d11c07c
0649,5,17,33,52,67,9,16,41,59,71,11,26,LIBRE,55,70,3,27,44,54,68,13,19,38,47,65,9529ef8bda195f6f84816e62b0d27bdfaaf0fb9c3590c2976873f8a3de51ad0f
0650,11,25,34,51,66,4,18,41,55,63,15,19,LIBRE,46,67,8,29,36,47,72,6,27,32,50,61,2f1e25cc6ca92501d73693a5d9e2fdafad601497278db6395cdfb3400326b947
0651,3,26,40,54,67,6,19,36,47,71,9,30,LIBRE,56,74,8,18,44,46,63,4,25,38,58,69,ae56e200351ab98b2d424eb502e82764bfab85bb0e9488c997471a39e29603dd
0652,15,17,34,59,65,9,27,40,53,74,12,28,LIBRE,58,62,10,29,42,48,61,2,20,44,57,75,2d1420403104766aec3a76bc91508a852e0c07f15509b56d6904da33184eb75d
0653,7,16,37,51,63,5,22,32,55,69,1,30,LIBRE,48,68,9,19,38,58,72,3,18,45,50,75,3a12bfc76bb56a915ad4c0f5083ce0f5e253b0c9ab40aced8b596e0b2f310f34
0654,9,24,42,59,66,14,21,34,60,62,10,29,LIBRE,51,67,6,22,40,47,73,15,20,36,58,63,d09a1d6fcd0f976d34b4300e1c6c3a0dc4e94c2bce35caf40c1e98c5652c0bcc
0655,7,27,37,52,73,3,19,38,54,74,13,22,LIBRE,56,66,5,30,36,57,63,4,16,45,53,75,ddb9c349cb01453a69a4b3aebb11ffe13d6781be4423417499ee47557b13ac0e
0656,1,16,41,54,62,5,18,38,47,61,9,23,LIBRE,49,68,11,22,44,53,65,14,29,43,51,69,6b923949183900ec6f0a1759cb63a4370fe56b78b106f861bf3930756d1d0ba7
0657,8,23,33,54,74,3,17,35,46,73,9,25,LIBRE,53,75,7,16,41,58,72,2,22,42,47,70,026fea6ee05b8bf76da8498c8765129f8cdb9a31d5ccde84fd9224cbb97e107f
0658,7,22,40,50,72,2,24,38,56,74,15,27,LIBRE,49,62,6,18,42,59,64,9,16,45,58,69,478c80a93bcd058909e94546d904a082194844284d818276110f129f6779261c
0659,6,26,35,56,68,4,18,44,58,69,7,27,LIBRE,46,64,9,24,42,47,62,15,23,33,49,73,b9fe42cd12d0d8f7790f41af2ddb57eae95efd43618b08c9ae8aa3266c3c84ae
0660,3,23,43,60,69,15,25,37,46,72,8,26,LIBRE,54,63,6,18,33,55,62,14,16,41,59,75,e92ae76c29b5997ee9fe9b97ea656db543c474d87410026fefdd864a1ad2d2f5
0661,2,18,39,47,70,10,26,45,56,71,7,27,LIBRE,49,65,6,17,43,55,67,5,20,37,53,61,fb216222c2559214eae0d80e60d0c2d717fa14954142e1fb36af287914ef6e0f
0662,15,18,35,47,66,4,30,39,60,63,5,24,LIBRE,59,72,8,20,44,48,65,11,21,41,54,68,019098c55c9cfc4356740664388e8520f0cbaba969d0b898e297f494be049757
0663,7,17,35,47,63,4,27,33,60,65,10,21,LIBRE,59,74,12,24,41,58,64,6,22,38,53,69,9f79a2ab1e2e4e8ab055d2555b30c2c3f2a6b7c5ac850e7ad86ee65ea9815e41
0664,11,19,39,51,65,13,28,41,50,64,6,20,LIBRE,57,72,5,21,36,49,75,12,24,42,58,69,4957bf232afa901f18627896df8cabc63a1f772778da2447ddee90a259e5ea6e
0665,9,19,35,50,69,7,21,32,57,63,12,23,LIBRE,59,74,13,28,39,46,70,4,20,38,47,64,eba9cb6077c4e0e9d795238d1a427aa6fc8d83dd462ecfbf2999e919538c97ff
0666,4,25,43,52,64,8,27,38,55,69,12,22,LIBRE,48,63,15,28,33,60,71,14,29,44,58,74,e76e80ffaf660edca50650a919b0622ad36eb4a2146f8d6e9e9fa53a3575a2c4
0667,11,19,35,60,63,13,29,42,59,70,4,28,LIBRE,58,69,1,25,45,48,62,7,17,38,47,73,2f4e80e5c129d171b246a22eb4740a12c71cbe476d3a1782dd6895a575101a8f
0668,7,26,45,59,62,8,17,32,53,69,5,27,LIBRE,46,66,12,24,41,57,70,10,29,36,60,63,31d7edc9f7850a5132dea78f1b962232d122159fdede84c4c2c08d9ed56db0ed
0669,2,27,34,54,74,12,29,35,55,73,13,16,LIBRE,46,70,10,21,32,50,61,5,30,39,49,71,8ffc7e0a032bf52d9d04db71414fe33abb65cbc12e10d30069993aa2de27154e
0670,11,26,42,46,63,15,30,33,49,64,10,25,LIBRE,54,70,1,21,41,47,72,6,24,45,57,68,95922ef3fa8ef6253fbd02a98db416aeba171544d79ca09eca3c8915b2e96186
0671,12,16,41,59,71,10,27,36,48,66,1,28,LIBRE,58,67,6,22,39,56,64,4,21,44,50,65,4ee7a0e7f8a87e0d3effbbe6ea5cd0c46676e8ac27e23a3ca4c02022a4186dc2
0672,8,29,39,54,75,6,18,36,57,71,10,30,LIBRE,47,63,14,20,31,59,68,2,28,44,58,69,7721120706ddd639089d1027f1ae2d3e3e47a7523c97062516e03d60ddb36b72
0673,14,20,41,50,75,2,30,45,57,65,6,23,LIBRE,54,68,3,24,40,46,73,15,22,33,55,70,43e180547988855dbebded9a492a3076eb9e41d8d1e5dc14caa2a6bb028167fd
0674,7,17,36,49,61,11,21,37,57,68,4,16,LIBRE,48,70,14,18,32,46,73,1,23,41,53,67,f72a39e9a36ec617b8d1a59e8d4369031758166768f1cc5915003b5ceb89e2f8
0675,12,23,37,55,71,7,21,44,57,74,13,26,LIBRE,53,73,4,27,33,54,65,6,18,41,48,63,30c598bdb477f4c10f850764454b9ee0d3a0ccd88bc473a7be246bf718097fc7
0676,12,19,44,58,67,11,29,32,59,63,7,24,LIBRE,49,68,2,25,33,46,65,10,22,38,48,70,02dd4f3eed32a6b407542dfb631795800247f6e1f6afed22f86bba3cb3e61a4c
0677,2,22,38,54,69,8,23,37,59,62,10,19,LIBRE,56,73,3,26,32,50,61,13,20,34,58,70,fe8fc050d54e7661614d4cc7609f99811cb2eb0d4e26f37809a68455058518cb
0678,13,23,36,56,71,4,29,43,59,69,6,20,LIBRE,46,68,3,25,44,49,70,10,17,40,48,66,cf575c99da2a6cffb6ba890c80693249abb469b7192ee2c5486860236d619a81
0679,12,28,42,53,66,13,30,44,55,63,15,27,LIBRE,49,68,4,19,38,60,67,5,26,36,56,71,17e94e2428593038a0f4eeff9c647402384939ed87c99fc11279639afe484970
0680,14,23,33,57,62,2,27,35,49,61,7,18,LIBRE,51,67,6,25,43,58,68,9,29,42,50,65,14db5d08bd768080280909275257a9911b1cad8879cfa21f29b0b7a33c9a7cfb
0681,12,21,42,52,67,2,29,40,50,63,7,24,LIBRE,60,65,5,18,43,55,68,10,25,44,56,69,632449dc0bc237ff300761e497b87938467b971f76b0e19122c668f9940fdd29
0682,11,17,44,60,61,6,26,40,51,73,4,25,LIBRE,52,75,2,20,43,56,71,13,30,39,48,64,76a76fd6f867724fc106d7e6bb83102bbde07817a01dd6942d4e7171085cb17d
0683,2,23,39,49,65,9,19,45,59,68,8,18,LIBRE,58,75,5,20,44,57,64,11,27,34,53,63,ea6894e994946e2862b78777687ecaac4ba3335142443e33621e91efe7b5b1e0
0684,1,22,38,54,72,13,27,40,47,64,14,18,LIBRE,59,73,10,24,35,55,70,15,23,34,52,68,2fd79912a1a175909ab062d4443c35a82017ead052a5e0cc37b11d19c0999ab5
0685,4,30,39,48,65,3,25,32,58,69,6,24,LIBRE,51,66,15,17,42,55,67,11,18,31,53,63,7ac1d70ede2b2d9b2a40b9ce63301d28948d47791032795c271cab14e26429b6
0686,3,30,43,60,75,11,16,45,55,70,2,23,LIBRE,56,63,7,29,35,47,69,9,25,40,59,61,ec79b8726b84294d0e857c03de534a733ca33246adc17538f0ad9c157d33e744
0687,10,16,40,56,71,8,27,37,53,72,11,26,LIBRE,48,70,4,20,33,60,63,9,22,39,51,74,30ae7a6540fe489b65176815844b34f8299c255d76ac7860da7cf731e0e193e3
0688,5,19,37,51,61,11,23,45,55,63,15,27,LIBRE,57,65,14,17,40,58,70,9,16,33,59,67,f11c353dd43dfe4ec77076fac4d88026389ee275cc8efff50cd12cc3f3e6402f
0689,11,17,42,56,64,4,29,43,57,62,6,19,LIBRE,58,65,3,16,41,59,69,14,20,40,46,73,7fe9821e83ba7835279ea3e27accac23493b8baeeff2bfc5bdf89b040b645dfe
0690,3,27,38,46,61,7,28,31,52,63,11,21,LIBRE,51,74,12,24,34,56,62,1,16,44,57,67,e34e26e86948f6f53c459546ead6ee7eeed9815ab88633447bb9d3e7b026a657
0691,2,18,42,53,64,15,20,31,56,68,13,16,LIBRE,60,69,4,29,40,58,74,6,27,37,49,63,0a691f1e64f957fd1d647efb3c5991ee16d5e6d215ca8c05ff01bac4ad7c514d
0692,7,26,33,59,68,9,29,37,60,73,10,24,LIBRE,47,62,2,17,40,56,74,13,18,32,48,65,016a1eee9534cd7f00dd6a910367557c4606a008a367537f83763e81b97cf83f
0693,15,24,43,49,63,4,21,35,55,66,1,17,LIBRE,59,73,9,26,45,60,64,5,28,42,51,69,872330f5a20021c87c752c64cc0539b42cacc7b81bf27b079c95fb179aaa2ed1
0694,3,22,33,55,75,10,23,32,52,71,13,28,LIBRE,50,61,11,27,35,47,73,7,16,44,48,63,e74ff7cc59b5cc6c9816f9fc34ab52a59e095cfa697dd8cab0b828d308ac189b
0695,13,22,33,46,66,8,29,43,48,75,12,25,LIBRE,56,70,6,16,32,47,67,10,24,39,54,62,9e9140bf8efcc6ee528dfd9bc780b1067d4b2e7b6926d31ee93a3cc3c2d4604d
0696,3,28,41,54,68,6,17,37,46,69,13,26,LIBRE,59,72,11,21,35,60,64,8,23,39,53,73,6b5d9d3f6c5f354f9bb4d8f0aa3dec1cb3f513a538bf18dcb6fa547cdf9e20b6
0697,9,21,35,50,63,3,28,36,57,68,5,23,LIBRE,47,61,7,29,45,60,73,4,26,33,53,69,ace456588fc0a35d38af347410cbf3de93961689e9b35ac9a244ecc596d41a46
0698,15,22,31,59,75,6,28,44,57,62,5,25,LIBRE,46,72,8,17,40,55,74,12,19,34,58,69,1cb79ba04d653f2d74bf0db2e209354e353934b5cf362f4bd87c73f677bb0fc5
0699,2,25,41,59,70,4,16,32,54,73,5,21,LIBRE,55,69,15,30,40,47,75,9,27,42,51,66,a6500432216e41775efe528a677d3aa8bbae4cccb544ee9e219cfd393ec1b10b
0700,11,28,32,48,67,4,27,31,52,72,14,26,LIBRE,47,73,8,16,42,49,62,2,19,38,46,64,eb558d009f4088c753e7d14d0d62c9f65dc0e0a2ed7f7e77d05a1daa364a8888
0701,4,18,38,51,68,15,24,41,47,66,13,30,LIBRE,52,70,6,17,40,54,63,14,21,34,50,69,bf2bded17d584c1393a81efaaf834c909b1c2a5d79762c11d13aff7797d8e978
0702,6,23,38,47,71,14,21,34,52,64,1,17,LIBRE,54,68,13,19,45,49,65,3,18,41,60,73,fd1f8d36e30bdd44c83f731bedcecaf98ae47b7a351f816fe3e84ec437a1afa3
0703,5,26,42,58,70,9,22,39,48,75,1,19,LIBRE,47,74,12,23,40,53,71,10,28,38,52,64,76eca27ebd93a91a1e2a7622125131b31b856c0a3e2a1b51551f92e15b2e9c20
0704,4,18,36,57,65,5,30,31,49,67,8,16,LIBRE,46,74,6,21,38,48,66,15,24,35,53,62,4d980c174048e556cbe695d984ff884b5ec50d73880f5aff61021f30ad17de27
0705,10,22,34,59,68,9,17,38,48,71,2,21,LIBRE,50,72,8,24,43,55,65,7,27,36,58,62,e1e7ad8d8823d26cc840fbee1a24e4d607ffff3cb69122822033f69e38da11fc
0706,4,25,44,53,74,5,21,45,47,64,7,17,LIBRE,48,69,8,26,33,60,71,9,28,41,58,66,624f2a0f59784a0083665396a67465fb149fbb1ffe658e6c73c27137a006b868
0707,2,30,38,50,65,4,21,33,53,74,12,27,LIBRE,59,75,5,23,32,57,67,9,24,42,54,69,b4f8b8c5cf879bf20a4a41c03555111dca8e81aef315400ebdd0bce9a8513a2e
0708,10,29,37,46,68,5,22,33,49,72,11,25,LIBRE,53,70,6,26,32,56,61,1,28,31,47,66,e536105d8dfba6b461da834ab47e0fdf602c5fbae3b99ecdabb55701dae6176e
0709,2,19,42,54,71,10,28,36,50,75,11,30,LIBRE,47,65,3,23,31,57,66,6,26,35,49,69,0b2838557460d7bfeedc15c43b6fee418ee2e34508040ecc4176f67ecefb6627
0710,10,29,32,52,64,12,26,44,48,67,15,20,LIBRE,60,75,8,28,34,56,73,6,30,35,57,61,57f63ef3b94ce4d2a8f932afd1d04b92a89528f245e6523750534985e0bbfab6
0711,10,20,36,51,73,6,19,39,49,61,15,28,LIBRE,47,64,14,22,43,58,66,1,16,42,55,72,a75964f4bc7efd53af7bf43e7a8f818d5531a755692c6f3e1cc350359f5480a4
0712,2,16,38,47,66,4,22,41,51,65,13,29,LIBRE,52,63,6,20,32,57,62,11,18,34,56,70,c911dd2c3503e6f9c9f24ddd0772c5213fceff9cb6ef8e3955d62c6987c827be
0713,5,26,38,52,64,8,23,40,50,67,3,25,LIBRE,60,70,9,19,39,57,69,7,21,34,47,71,b6609d18efb4317dae897c78aa9bb3ad970c2d9c0b087552c70a5f1b3b0cf088
0714,5,30,36,49,66,9,29,31,58,75,14,25,LIBRE,60,73,8,24,35,55,74,2,18,34,46,64,7238bc4ee73ea4132593283e254eeb4c3d55ea71d44a22537dd84666b9a931a7
0715,2,24,31,57,61,8,23,36,60,68,15,22,LIBRE,50,74,14,18,32,54,73,6,25,35,53,62,ae7e1add4d73f4f6bab704a976827902a94de5a20a994fe7ebb8e8af0054faee
0716,3,26,42,53,66,15,18,33,49,65,4,24,LIBRE,52,74,6,22,31,56,73,2,19,35,57,70,a3d157ac44347cac88a8c03b00526e7b31b180723cda347958e115f33b8c4ceb
0717,9,18,39,49,65,5,23,34,55,63,15,24,LIBRE,47,62,14,30,43,46,67,10,26,38,58,73,d9e1b48bb50db382096baeb493167f3f1c22dafff9b3096bb122b9086956c168
0718,5,21,41,50,65,15,17,37,51,68,1,24,LIBRE,57,62,12,19,34,47,67,3,23,31,60,63,fcddb05b0cba204288fa5cbd2b7f4da9de11e6d380a34939c132f2509f59a09a
0719,5,20,44,60,65,15,22,37,56,70,11,23,LIBRE,51,64,7,19,42,49,69,8,25,38,59,72,f0fe9e3f59c2401c3ad5e7a1d3b06110fa58d136940c4d7400f49982522b55e2
0720,15,28,43,57,74,11,26,44,56,68,12,25,LIBRE,50,69,13,20,39,48,66,5,21,40,54,63,63cfd6e53b5bf690f3a7cf8755d5ad06a57a15732b8f2143637ce897d1997a44
0721,15,25,45,48,75,9,29,35,57,65,4,16,LIBRE,53,72,3,27,36,46,73,12,30,34,60,68,4c4d6b33a845832219d3e7eb1a0a58a1ca34fbc1d9a55485734df56d432bcfe7
0722,8,27,40,57,69,15,26,43,53,64,4,30,LIBRE,50,66,2,22,32,49,63,3,18,34,54,74,80fd128273be4695fe9d173910a4632b572bc60a75be12f42b3a7b957c9bd3ec
0723,6,23,40,55,69,3,24,43,48,70,1,21,LIBRE,50,71,12,27,34,59,63,9,28,41,52,68,c2c25fbb54f5b17e3f068525c1d0afdb4fa6e07a848ce3b6fdd7d1b602638efb
